Designator,Footprint,Quantity,Value,LCSC Part #
ANALOG GND,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Analog GND,
ANALOG IN,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Analog in,
"C1, C2, C3, C4, C5",CP_Radial_D8.0mm_P5.00mm,5,C,
J1,Molex_KK-396_5273-08A_1x08_P3.96mm_Vertical,1,Power in,
J5,Molex_KK-396_5273-08A_1x08_P3.96mm_Vertical,1,Power out,
"Q1, Q2, Q3",TO-220-3_Vertical,3,Q_NMOS_DGS,
"R1, R2, R3, R4, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,5,R,
"R5, R7, R8",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,3,R,
SATURATING,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Saturating Pulse,
U1,DIP-8_W7.62mm_Socket_LongPads,1,AD797,
