Designator,Mid X,Mid Y,Rotation,Layer
C1,191.027651,-115.3175,180.0,top
C2,209.222349,-96.6275,0.0,top
C3,209.222349,-106.6275,0.0,top
C4,181.125,-96.1275,0.0,top
C5,181.125,-85.1275,0.0,top
H1,120.8,-130.0,0.0,top
H2,120.8,-64.0,0.0,top
H3,230.0,-64.0,0.0,top
H4,230.0,-130.0,0.0,top
J1,153.185,-144.3175,0.0,top
J4,159.585,-52.3175,180.0,top
J5,193.565,-144.3175,0.0,top
J6,174.96,-52.5,180.0,top
Q1,162.46,-107.8075,180.0,top
Q2,145.06,-107.8175,180.0,top
R1,194.125,-70.3175,270.0,top
R2,201.125,-80.8175,180.0,top
R3,200.165,-111.4375,270.0,top
R4,182.125,-111.1275,270.0,top
R5,176.925,-120.7175,270.0,top
R6,148.125,-91.8175,270.0,top
R7,139.88,-120.0,180.0,top
U1,195.435,-96.6275,270.0,top
