Designator,Mid X,Mid Y,Rotation,Layer
+15V1,149.96,-65.0,180.0,top
+48V1,94.96,-65.0,180.0,top
H1,82.5,-137.5,0.0,top
H2,162.5,-67.5,0.0,top
J1,117.2,-120.42,0.0,top
J2,142.2,-120.42,0.0,top
LASER-A1,72.5,-99.96,270.0,top
LASER-B1,72.5,-112.54,270.0,top
Q1,146.0,-90.95,0.0,top
Q2,96.0,-90.95,0.0,top
Q3,160.0,-90.95,0.0,top
R1,157.38,-120.0,0.0,top
R2,125.0,-65.0,180.0,top
R3,125.0,-91.0,180.0,top
R4,125.0,-74.0,180.0,top
R5,125.0,-82.0,180.0,top
R6,99.62,-101.0,0.0,top
R7,99.0,-108.0,180.0,top
R8,99.08,-115.6,180.0,top
R9,157.5,-110.0,0.0,top
