Designator,Mid X,Mid Y,Rotation,Layer
ACTINIC_2,132.5,-103.0,0.0,top
ACTINIC,132.5,-85.0,0.0,top
C1,171.75,-122.5,90.0,top
C2,151.0,-122.5,270.0,top
D1,125.73,-122.75,0.0,top
D2,108.48,-122.5,0.0,top
D3,91.23,-122.75,0.0,top
DETECTION_2,98.345,-103.08,0.0,top
DETECTION,98.0,-85.0,0.0,top
J1,196.5,-94.36,270.0,top
PHOTODIODE_2,167.5,-103.0,0.0,top
PHOTODIODE,167.5,-85.0,0.0,top
R1,181.75,-120.25,270.0,top
R2,161.5,-120.0,90.0,top
R3,132.0,-114.75,0.0,top
R4,114.75,-114.75,0.0,top
R5,97.67,-114.75,0.0,top
